SetCount,TermsCount,ErrorCount,Error,Width,Amptitude,Time
5,15,0,0,40,400,800.289099999995
6,0,0,0,160,600,533.394700000004
6,1,0,0,40,600,1065.60999999999
6,2,0,0,80,800,765.669800000003
6,3,0,0,40,800,699.807300000015
6,4,0,0,160,400,551.522100000002
6,5,0,0,80,200,568.170099999988
6,6,0,0,80,400,734.607099999994
6,7,0,0,80,600,650.418700000009
6,8,0,0,40,400,651.814000000013
6,9,0,1,120,600,551.478600000002
6,9,1,0,120,600,1017.22690000001
6,10,0,0,120,800,1065.57210000002
6,11,0,0,160,200,550.613299999997
6,12,0,0,40,200,983.251099999994
6,13,0,0,160,800,549.899700000009
6,14,0,0,120,200,484.5386
6,15,0,0,120,400,932.671800000011
7,0,0,0,40,400,699.944300000003
7,1,0,0,80,200,783.289099999995
7,2,0,0,40,200,650.433099999995
7,3,0,0,80,600,1249.2403
7,4,0,0,120,600,684.904600000009
7,5,0,0,160,200,450.918900000019
7,6,0,0,160,400,551.057000000001
7,7,0,0,160,600,532.03330000001
7,8,0,0,40,600,898.631399999984
7,9,0,1,120,800,750.684000000008
7,9,1,0,120,800,734.012400000007
7,10,0,0,120,400,665.967700000008
7,11,0,0,160,800,985.873800000001
7,12,0,0,120,200,550.722199999989
7,13,0,0,80,800,816.430400000012
7,14,0,0,80,400,883.48629999999
7,15,0,0,40,800,1065.29550000001
8,0,0,0,80,400,733.623099999997
8,1,0,0,80,800,665.890699999989
8,2,0,0,40,600,985.33660000001
8,3,0,0,120,800,782.109599999996
8,4,0,0,40,400,682.114399999991
8,5,0,0,160,400,532.428399999975
8,6,0,0,80,200,534.823200000013
8,7,0,0,40,200,951.414799999999
8,8,0,0,120,600,617.146000000008
8,9,0,0,120,400,665.922299999977
8,10,0,0,160,800,616.582400000014
8,11,0,0,120,200,433.521599999978
8,12,0,0,80,600,799.234200000006
8,13,0,0,160,600,700.486200000014
8,14,0,0,160,200,400.667400000006
8,15,0,0,40,800,766.82309999998
9,0,0,0,80,800,1050.19039999999
9,1,0,0,160,600,599.591399999976
9,2,0,0,160,200,532.523499999981
9,3,0,0,80,600,735.061400000006
9,4,0,0,120,600,582.56759999998
9,5,0,0,40,800,915.942500000005
9,6,0,0,160,400,499.713199999998
9,7,0,0,120,800,632.174900000013
9,8,0,0,40,200,766.54250000001
9,9,0,0,160,800,583.272499999992
9,10,0,0,120,200,466.152000000002
9,11,0,0,80,200,532.253200000006
9,12,0,0,80,400,583.580900000001
9,13,0,0,120,400,516.396999999997
9,14,0,0,40,600,999.903099999996
9,15,0,0,40,400,800.073899999989
