SetCount,TermsCount,ErrorCount,Error,Width,Amptitude,Time
8,11,0,1,40,400,566.275999999983
8,11,1,0,40,400,831.370699999999
8,12,0,0,120,200,317.987900000007
8,13,0,0,160,200,318.112199999974
8,14,0,0,40,200,566.846400000009
8,15,0,0,80,600,564.555299999978
9,0,0,0,120,400,484.987400000013
9,1,0,0,40,600,750.291499999992
9,2,0,0,120,800,600.354400000011
9,3,0,0,120,200,550.027000000002
9,4,0,0,40,400,700.688400000014
9,5,0,0,40,200,567.957200000004
9,6,0,0,160,400,415.961899999995
9,7,0,0,80,600,549.230899999995
9,8,0,0,160,800,517.776000000013
9,9,0,0,120,600,632.964999999997
9,10,0,0,80,200,500.125900000014
9,11,0,0,160,200,299.7353
9,12,0,0,40,800,982.378600000025
9,13,0,0,160,600,533.154800000018
9,14,0,0,80,800,700.708400000003
9,15,0,0,80,400,601.261700000003
