SetCount,TermsCount,ErrorCount,Error,Width,Amptitude,Time
0,0,0,0,160,600,765.8606
0,1,0,0,80,600,633.6113
0,2,0,0,120,200,465.887299999999
0,3,0,0,80,800,649.6718
0,4,0,0,80,400,584.1332
0,5,0,0,80,200,533.641000000001
0,6,0,0,160,200,399.624399999999
0,7,0,0,40,800,1083.8329
0,8,0,0,120,600,1131.4258
0,9,0,0,40,400,966.4385
0,10,0,0,160,400,484.3537
0,11,0,0,40,200,617.748500000002
0,12,0,0,120,400,585.357500000002
0,13,0,0,40,600,766.145199999999
0,14,0,0,160,800,618.2209
0,15,0,0,120,800,801.562299999998
1,0,0,0,80,600,816.6469
1,1,0,0,120,400,600.193200000002
1,2,0,0,40,200,1000.1112
1,3,0,0,40,600,1084.2743
1,4,0,0,120,200,483.432499999999
1,5,0,0,80,200,532.394699999997
1,6,0,0,80,800,983.039600000004
1,7,0,0,40,800,1049.3944
1,8,0,0,160,800,616.271200000003
1,9,0,0,40,400,848.961499999998
1,10,0,0,120,600,633.166299999997
1,11,0,0,160,400,582.752
1,12,0,0,160,200,549.2094
1,13,0,0,160,600,668.203400000006
1,14,0,0,80,400,749.919200000004
1,15,0,0,120,800,682.006500000003
2,0,0,0,80,800,783.6149
2,1,0,0,120,800,849.043299999998
2,2,0,0,40,200,648.797200000001
2,3,0,0,160,200,365.9156
2,4,0,0,120,400,599.551400000004
2,5,0,0,40,400,765.667500000003
2,6,0,0,160,600,800.825599999996
2,7,0,0,80,400,714.771699999998
2,8,0,0,120,600,666.676200000002
2,9,0,0,160,800,549.258699999999
2,10,0,0,80,200,666.239100000006
2,11,0,0,80,600,850.942199999998
2,12,0,0,160,400,532.138100000011
2,13,0,0,120,200,498.660100000008
2,14,0,0,40,600,832.414199999999
2,15,0,0,40,800,867.218399999998
3,0,0,0,80,800,815.803899999999
3,1,0,0,160,800,617.7215
3,2,0,0,40,600,735.656799999997
3,3,0,0,120,200,416.149999999994
3,4,0,0,40,800,965.537400000001
3,5,0,0,120,800,599.770699999994
3,6,0,0,40,200,566.965400000001
3,7,0,0,40,400,749.678499999995
3,8,0,0,80,600,650.991099999999
3,9,0,0,160,400,500.103399999993
3,10,0,0,80,200,468.309699999998
3,11,0,0,160,600,535.353300000002
3,12,0,0,80,400,585.834000000003
3,13,0,0,120,400,499.902099999992
3,14,0,0,120,600,615.726800000004
3,15,0,0,160,200,365.238400000002
4,0,0,0,160,800,616.439899999998
4,1,0,0,40,800,949.5772
4,2,0,0,120,400,600.779900000009
4,3,0,0,160,200,300.106800000009
4,4,0,0,80,600,700.6823
4,5,0,0,40,400,718.643299999996
4,6,0,0,40,200,549.757899999997
4,7,0,0,160,400,466.998800000001
4,8,0,0,80,400,633.256300000008
4,9,0,0,120,200,301.044699999999
4,10,0,0,80,200,599.577300000004
4,11,0,0,120,600,648.9905
4,12,0,0,160,600,565.723499999993
4,13,0,0,40,600,699.977400000003
4,14,0,0,120,800,550.350099999996
4,15,0,0,80,800,751.012600000002
5,0,0,0,80,600,699.777900000001
5,1,0,0,40,200,615.841499999995
5,2,0,0,160,600,468.286000000007
5,3,0,0,40,800,900.001900000003
5,4,0,0,120,600,599.754700000005
5,5,0,0,120,400,615.916199999992
5,6,0,0,120,800,683.226799999989
5,7,0,0,160,800,683.012600000002
5,8,0,0,80,400,549.871700000003
5,9,0,0,80,800,765.571800000005
5,10,0,0,160,200,467.671099999992
5,11,0,0,40,400,717.234199999992
5,12,0,0,120,200,366.578099999999
5,13,0,0,80,200,400.965599999996
5,14,0,0,160,400,532.152100000007
5,15,0,0,40,600,735.034899999999
6,0,0,0,160,800,517.592399999994
6,1,0,0,80,400,834.639399999985
6,2,0,0,160,200,399.210699999996
6,3,0,0,40,400,933.113000000012
6,4,0,0,160,600,500.685499999992
6,5,0,0,120,400,548.752899999992
6,6,0,0,80,800,850.723700000002
6,7,0,0,40,800,1099.80970000001
6,8,0,0,120,200,433.50020000001
6,9,0,0,160,400,433.814899999998
6,10,0,0,80,600,633.066800000001
6,11,0,0,120,600,616.758200000011
6,12,0,0,40,600,883.238399999973
6,13,0,0,120,800,650.528500000015
6,14,0,0,80,200,517.125299999985
6,15,0,0,40,200,566.262500000012
7,0,0,0,40,600,683.396600000007
7,1,0,0,40,400,616.34150000001
7,2,0,0,80,200,434.251900000003
7,3,0,0,160,600,482.385000000009
7,4,0,0,160,400,500.100000000006
7,5,0,0,160,800,517.169699999999
7,6,0,1,120,600,633.594899999996
7,6,1,0,120,600,466.772700000001
7,7,0,0,80,800,751.083400000003
7,8,0,0,120,800,549.934699999983
7,9,0,0,80,400,750.018700000015
7,10,0,0,40,800,651.137699999992
7,11,0,0,120,200,332.404700000014
7,12,0,0,80,600,735.079700000002
7,13,0,0,120,400,433.33070000002
7,14,0,1,40,200,650.66889999999
7,14,1,0,40,200,549.834400000022
7,15,0,0,160,200,367.867500000022
8,0,0,0,120,400,484.04859999998
8,1,0,0,80,400,898.95259999999
8,2,0,0,40,400,665.092800000013
8,3,0,0,80,600,633.685599999997
8,4,0,0,120,200,416.978700000007
8,5,0,0,40,800,816.722500000003
8,6,0,0,160,400,549.696100000001
8,7,0,0,160,800,549.702799999999
8,8,0,0,160,600,550.017900000006
8,9,0,0,40,200,700.265799999994
8,10,0,0,160,200,400.695600000006
8,11,0,0,80,800,916.831299999991
8,12,0,0,120,800,749.669500000018
8,13,0,0,80,200,533.260100000014
8,14,0,0,40,600,733.65399999998
8,15,0,0,120,600,649.36970000001
9,0,0,0,160,800,482.431199999992
9,1,0,0,160,600,582.767800000001
9,2,0,0,80,800,649.869199999986
9,3,0,0,40,600,817.117599999998
9,4,0,0,80,200,400.011800000008
9,5,0,0,40,200,565.661099999998
9,6,0,0,120,600,782.7978
9,7,0,0,80,400,569.166999999987
9,8,0,0,40,400,650.409899999999
9,9,0,0,120,200,384.060700000002
9,10,0,0,160,200,333.315600000002
9,11,0,0,80,600,515.952700000023
9,12,0,0,120,800,616.017099999997
9,13,0,0,160,400,515.627399999998
9,14,0,0,120,400,550.145399999979
9,15,0,0,40,800,816.929400000023
