SetCount,TermsCount,ErrorCount,Error,Width,Amptitude,Time
0,0,0,0,120,200,431.1929
0,1,0,0,80,200,467.586
0,2,0,0,120,800,585.1138
0,3,0,0,40,400,715.3865
0,4,0,0,40,200,582.2746
0,5,0,0,80,600,715.573400000001
0,6,0,0,40,600,866.107599999999
0,7,0,0,120,400,585.723
0,8,0,0,160,800,618.526800000001
0,9,0,0,160,600,615.873799999999
0,10,0,0,80,800,684.979799999999
0,11,0,0,160,400,534.495299999999
0,12,0,0,160,200,401.511500000001
0,13,0,0,120,600,500.7147
0,14,0,0,80,400,532.179600000003
0,15,0,0,40,800,983.101200000001
1,0,0,0,160,400,465.606
1,1,0,0,160,200,365.105399999997
1,2,0,0,80,800,699.9918
1,3,0,0,160,600,633.901999999998
1,4,0,0,80,200,500.120999999999
1,5,0,0,40,600,934.621500000001
1,6,0,0,120,600,533.827499999999
1,7,0,0,120,800,649.6234
1,8,0,0,80,600,631.307399999998
1,9,0,0,120,400,432.435999999994
1,10,0,0,40,400,983.355799999998
1,11,0,0,160,800,534.664700000001
1,12,0,0,80,400,733.754200000003
1,13,0,0,40,200,548.573899999996
1,14,0,0,120,200,366.346599999997
1,15,0,0,40,800,816.524700000002
2,0,0,0,80,600,667.713100000001
2,1,0,0,80,800,748.440199999997
2,2,0,0,120,400,601.382399999995
2,3,0,0,160,400,466.258799999996
2,4,0,0,160,800,615.3318
2,5,0,0,160,600,484.905200000001
2,6,0,0,120,200,350.190600000002
2,7,0,0,40,600,866.711899999995
2,8,0,0,40,400,699.3442
2,9,0,0,40,800,815.160300000003
2,10,0,0,120,800,616.483799999995
2,11,0,0,120,600,649.838599999995
2,12,0,0,80,400,582.068999999996
2,13,0,0,80,200,399.958200000001
2,14,0,0,160,200,300.279600000002
2,15,0,0,40,200,518.033500000005
3,0,0,0,120,400,482.197100000005
3,1,0,0,40,200,484.439400000003
3,2,0,0,160,400,384.3033
3,3,0,0,80,200,384.198900000003
3,4,0,0,160,800,580.903699999995
3,5,0,0,80,600,499.981299999999
3,6,0,0,120,800,683.383000000002
3,7,0,0,40,800,748.901499999993
3,8,0,0,120,600,531.870500000005
3,9,0,0,80,800,849.237500000003
3,10,0,0,160,200,232.338399999993
3,11,0,1,40,400,834.5386
3,11,1,0,40,400,767.553599999999
3,12,0,0,120,200,349.789900000003
3,13,0,0,160,600,432.277700000006
3,14,0,0,80,400,516.701499999996
3,15,0,0,40,600,714.782699999996
4,0,0,0,160,800,633.020699999994
4,1,0,0,80,200,434.915099999998
4,2,0,0,80,600,565.328699999998
4,3,0,0,40,400,650.1731
4,4,0,0,160,400,399.241399999999
4,5,0,0,40,800,734.613100000002
4,6,0,0,120,200,382.960500000001
4,7,0,0,160,600,600.436700000006
4,8,0,0,80,800,900.425700000007
4,9,0,0,120,400,616.828900000008
4,10,0,0,120,800,717.892199999988
4,11,0,0,40,600,850.2736
4,12,0,0,80,400,483.6014
4,13,0,0,160,200,334.303899999999
4,14,0,0,120,600,482.452699999994
4,15,0,0,40,200,499.921300000002
5,0,0,0,40,800,750.273799999995
5,1,0,0,160,600,533.705400000006
5,2,0,0,40,200,584.8603
5,3,0,1,40,400,516.25450000001
5,3,1,0,40,400,764.996099999989
5,4,0,0,80,400,566.465100000001
5,5,0,0,120,200,366.51909999999
5,6,0,0,160,200,266.108600000007
5,7,0,0,160,400,350.177800000005
5,8,0,0,80,200,333.9712
5,9,0,0,120,400,435.297900000005
5,10,0,0,80,800,549.401599999997
5,11,0,0,160,800,532.377099999998
5,12,0,0,80,600,583.255799999999
5,13,0,0,120,800,549.474300000002
5,14,0,0,120,600,501.441200000001
5,15,0,0,40,600,951.437999999995
6,0,0,0,40,400,700.043800000014
6,1,0,0,40,800,932.364100000006
6,2,0,0,80,200,365.420600000012
6,3,0,1,80,600,684.121799999994
6,3,1,0,80,600,517.602899999998
6,4,0,0,80,400,583.125899999985
6,5,0,0,160,200,316.819599999988
6,6,0,0,160,400,366.39499999999
6,7,0,0,40,200,583.141600000003
6,8,0,0,120,600,665.902200000011
6,9,0,0,160,800,667.834799999982
6,10,0,0,40,600,733.281599999988
6,11,0,0,80,800,717.589600000007
6,12,0,0,120,200,367.377500000002
6,13,0,0,160,600,600.412500000006
6,14,0,0,120,400,465.546499999997
6,15,0,0,120,800,650.167499999981
7,0,0,0,40,200,665.492200000008
7,1,0,0,160,400,633.943399999989
7,2,0,0,40,600,850.041600000026
7,3,0,0,80,400,599.741199999989
7,4,0,0,160,200,317.590100000001
7,5,0,0,40,800,715.998099999997
7,6,0,0,120,600,483.351999999984
7,7,0,0,80,800,649.779900000023
7,8,0,0,120,200,348.5913
7,9,0,0,120,400,483.645799999998
7,10,0,0,160,800,518.411899999977
7,11,0,0,80,600,749.863000000012
7,12,0,0,120,800,734.331600000005
7,13,0,0,40,400,798.867999999988
7,14,0,0,160,600,483.169599999994
7,15,0,0,80,200,400.189800000022
8,0,0,0,120,800,731.467499999999
8,1,0,0,160,200,283.821200000006
8,2,0,0,120,400,384.797299999977
8,3,0,0,40,200,484.415399999998
8,4,0,1,160,400,316.045099999988
8,4,1,0,160,400,416.274200000014
8,5,0,0,120,200,316.639999999985
8,6,0,0,160,800,499.527699999977
8,7,0,0,40,800,832.864000000001
8,8,0,0,120,600,599.650400000013
8,9,0,0,80,800,781.980199999991
8,10,0,0,40,400,900.378299999982
8,11,0,0,160,600,466.920099999988
8,12,0,0,80,600,684.884300000005
8,13,0,0,40,600,682.426199999987
8,14,0,0,80,400,434.599399999977
8,15,0,0,80,200,432.894700000004
9,0,0,0,120,200,268.04250000001
9,1,0,0,40,400,533.387500000012
9,2,0,0,80,600,499.542600000015
9,3,0,1,80,400,434.138299999991
9,3,1,0,80,400,649.704599999997
9,4,0,0,160,400,350.10189999998
9,5,0,0,160,600,399.665500000003
9,6,0,0,40,200,532.075100000016
9,7,0,1,120,400,335.488599999982
9,7,1,0,120,400,284.031699999992
9,8,0,0,160,800,617.585800000001
9,9,0,0,120,600,684.154699999985
9,10,0,0,40,800,900.282699999982
9,11,0,0,40,600,683.914099999995
9,12,0,0,120,800,650.01549999998
9,13,0,0,160,200,283.662300000025
9,14,0,0,80,800,717.0239
9,15,0,0,80,200,367.849599999987
