SetCount,TermsCount,ErrorCount,Error,Width,Amptitude,Time
0,0,0,0,40,400,985.0354
0,1,0,0,80,800,983.2812
0,2,0,0,40,800,918.553800000001
0,3,0,0,40,600,650.7457
0,4,0,1,40,200,718.1185
0,4,1,0,40,200,783.038199999999
0,5,0,0,120,400,616.762500000001
0,6,0,0,80,600,867.854800000001
0,7,0,0,80,200,635.731800000001
0,8,0,0,160,800,717.311399999999
0,9,0,0,160,400,764.617900000001
0,10,0,0,120,800,784.747499999998
0,11,0,0,120,200,535.428599999999
0,12,0,0,160,200,449.6499
0,13,0,0,120,600,1135.8926
0,14,0,0,80,400,549.253699999997
0,15,0,0,160,600,816.407899999998
1,0,0,0,120,200,483.251400000001
1,1,0,0,40,400,915.128799999999
1,2,0,0,160,200,585.2837
1,3,0,0,80,600,932.312000000002
1,4,0,1,40,200,650.575600000004
1,4,1,0,40,200,784.154399999999
1,5,0,0,120,800,817.746299999999
1,6,0,0,160,600,733.391899999995
1,7,0,0,120,400,684.827599999997
1,8,0,0,80,400,651.260900000001
1,9,0,0,40,800,1134.2945
1,10,0,0,80,200,532.657499999994
1,11,0,0,160,400,549.405599999998
1,12,0,0,40,600,1114.21060000001
1,13,0,0,120,600,717.822400000005
1,14,0,0,160,800,782.927100000001
1,15,0,0,80,800,949.366999999998
2,0,0,0,160,800,634.348299999998
2,1,0,0,40,200,617.832899999994
2,2,0,0,160,400,582.928799999994
2,3,0,0,160,600,682.445599999999
2,4,0,0,40,400,963.870600000002
2,5,0,0,80,400,633.987099999998
2,6,0,0,160,200,536.139600000002
2,7,0,0,80,600,950.239699999998
2,8,0,0,120,400,615.054199999999
2,9,0,0,120,600,701.756999999998
2,10,0,0,40,800,1064.70890000001
2,11,0,0,40,600,900.706399999995
2,12,0,0,80,200,614.409299999999
2,13,0,0,120,200,582.5242
2,14,0,0,120,800,1185.9209
2,15,0,0,80,800,798.2595
3,0,0,0,80,600,732.464299999992
3,1,0,0,160,400,617.222600000008
3,2,0,0,120,800,886.128200000006
3,3,0,0,40,400,849.8125
3,4,0,0,80,400,617.036700000011
3,5,0,0,80,800,715.901499999993
3,6,0,0,40,600,801.469199999992
